username,userid,profile_location,created_at,text,retweet_count,source
혜슈,2932992230,너 마음속,2014-12-17 03:32:20,"RT @vilnim: ""코로나 감염되면 선수 책임"" 도쿄올림픽 동의서 논란 | 다음 뉴스 https://t.co/VgET5wLKr9

와... 미친 갔다가 확진되어서 선수생명 끝나도 IOC나 일본은 절대 책임 안 지겠다는 거잖아...보이콧이 답임",1804,Twitter for iPhone
nein(나인),150958645,,2010-06-02 07:25:05,"RT @yarlyshirley: 코로나 집단감염이 있었는데도 회식하고, 강제참여시키고, 성추행에 은폐 따돌림으로 사람 죽인 공군 20 전투 비행단. 가해자 얼굴 신상 공개하고 책임자들 전부 직위해제 시켜라 https://t.co/yv52UWAezS",1005,Twitter for Android
(외유내강문재인114)찢재명만팬다,709888772939198464,,2016-03-15 23:47:27,RT @supermassive101: 이줴명은 코로나를 지 숨는데 이용하는구나.,82,Twitter for Android
nas⁷,1363696980,134340,2013-04-19 06:16:09,"RT @healing_storage: 코로나 때문에 비대면 설교를 진행하는 중인데
고양이가 난입해서 신부님 우유를 마심 https://t.co/7RoFtVxO6H",15150,Twitter for Android
상큼한아침,186487217,,2010-09-03 16:01:01,"RT @New_paradigm: MBC 100분 토론, 국힘당 당대표 후보들 토론, 꼬마 병정들 보는 느낌이다. 문재인 정부의 오만과 독선에 얼마나 힘들었냐며 정권교체가 필수란다. 나는 좋기만 하구만. 코로나 방역 잘했다는 부분에 대해서 5명 어느…",58,Twitter for iPhone
HJ,943660056,대한민국,2012-11-12 14:30:57,"RT @D_T_Monitoring: &lt;회유와 협박이 계속됐지만 군은 이번에도 피해자를 보호할 생각이 없어보였다/부대가 선임해준 국선변호인은 코로나 격리 때문에 못온다는 말만 할 뿐 아무 대책도 마련해주지 않았고, 피해자 조사때 조차 동행해주지 않았다…",83,Twitter Web App
뚜벅이,796366174430728192,대한민국,2016-11-09 14:57:46,"RT @New_paradigm: MBC 100분 토론, 국힘당 당대표 후보들 토론, 꼬마 병정들 보는 느낌이다. 문재인 정부의 오만과 독선에 얼마나 힘들었냐며 정권교체가 필수란다. 나는 좋기만 하구만. 코로나 방역 잘했다는 부분에 대해서 5명 어느…",58,Twitter for Android
리우,1240872833577676800,,2020-03-20 05:28:57,"RT @yarlyshirley: 코로나 집단감염이 있었는데도 회식하고, 강제참여시키고, 성추행에 은폐 따돌림으로 사람 죽인 공군 20 전투 비행단. 가해자 얼굴 신상 공개하고 책임자들 전부 직위해제 시켜라 https://t.co/yv52UWAezS",1005,Twitter for Android
김롸커,1243430702139486208,,2020-03-27 06:52:45,"RT @yarlyshirley: 코로나 집단감염이 있었는데도 회식하고, 강제참여시키고, 성추행에 은폐 따돌림으로 사람 죽인 공군 20 전투 비행단. 가해자 얼굴 신상 공개하고 책임자들 전부 직위해제 시켜라 https://t.co/yv52UWAezS",1005,Twitter Web App
희망을찾아왔노라,823130599066050560,,2017-01-22 11:30:02,"서울김천시횟집
무주김천시코로나
문평문경시출장마사지
진안김천시휴게소
법동김천시맛집
장수문경시콜걸샵
광주대전울산강남
서울부산대구인천
와동김천시출장
김제김천시여행
완주김천시모텔
석봉문경시출장샵
비래김천시노래방
e… https://t.co/cfg3lnf3qg",0,Twitter for Android
김한량,3161674112,,2015-04-17 23:48:15,"RT @Volnyerio: 리투아니아의 빌뉴스와 폴란드의 루블린을 이어주는 '버추얼 도어'가 며칠 전 생긴 모양. 언론에선 포탈이라고 표현하던데, 두 도시의 행인들이 실시간으로 서로의 모습을 확인하고 몸짓 소통을 나눌 수 있는 설치물이다. 코로나 1…",1246,Twitter for Android
김 태환(金台煥 - TaeHwan Kim)🇰🇷,135001921,"DaeJeon,Republic of Korea",2010-04-20 02:16:11,"RT @DreamDaejeon: 🚨직계가족 모임 인원수 변경

(종전) 8인까지 모이는 것 가능
(변경) 코로나 백신 예방접종자는 8인의 인원에서 제외

- 예방접종자 란 : 1차접종 후 14일이 경과 된 사람과 예방접종 완료자
* 접종증명서 : ①…",7,Twitter for iPhone
LEE🎗🌱🌿🦋🏨💎💙👍,1379805907505180677,,2021-04-07 14:39:24,"RT @happy_CSR_: 접종 완료 후 신체 변화를 확인해 보니, 흡연자들은 비흡연자들보다 항체 생성량이 42.8%나 적은 것으로 조사. 흡연은 백신의 효과를 떨어뜨릴 뿐만 아니라 코로나19에 감염될 위험도 높이는 것으로 나타나. ""똑같은 코로나…",80,Twitter for iPad
❄️햇반🍚,1174656087087140865,,2019-09-19 12:06:58,"RT @yarlyshirley: 코로나 집단감염이 있었는데도 회식하고, 강제참여시키고, 성추행에 은폐 따돌림으로 사람 죽인 공군 20 전투 비행단. 가해자 얼굴 신상 공개하고 책임자들 전부 직위해제 시켜라 https://t.co/yv52UWAezS",1002,Twitter for iPhone
